test_file,execution_time_seconds,user_input,retrieved_contexts,response,faithfulness,answer_relevancy
sample_01_tension_headache.json,12.532,"증상: 두통, 스트레스. 오후 3시 이후 진료 희망",['No Context Retrieved or Mapped'],추천 진료과: 신경과. 추천 의료진: 신경과의 우연선 (이유: 증상-전문분야 키워드 일치/두통 전문 신경과 의료진/근거 문서ID team-6); 신경외과의 오재인 (이유: 두통 관련 신경외과 전문의/근거 문서ID team-5),0.0,0.7327463812884035
sample_02_acid_reflux.json,10.796,"증상: 속쓰림, 신물 올라옴. 위산 역류가 심함",['No Context Retrieved or Mapped'],추천 진료과: 내과. 추천 의료진: 내과의 null (이유: 증상-전문분야 키워드 일치/위산 역류 관련 내과 진료과 적합/근거 문서 없음),0.0,0.0
sample_03_shoulder_rotator.json,15.525,"증상: 어깨 통증, 팔 올리기 어려움. 회전근개 파열이 의심됨",['No Context Retrieved or Mapped'],추천 진료과: 정형외과/O.P. 추천 의료진: 정형외과/O.P의 양재혁/D003 (이유: 어깨 전문분야 키워드 일치 및 회전근개 파열 관련 전문성 (team-2)); 정형외과/O.P의 김재훈/D001 (이유: 어깨 전문분야 키워드 일치 (team-0)); 정형외과/O.P의 김상우/D004 (이유: 어깨 전문분야 키워드 일치 (team-3)),0.0,0.7239733948818508
sample_04_lumbago.json,22.391,"증상: 갑작스러운 허리 통증, 움직이기 힘듦. 무거운 물건을 들다 다침",['No Context Retrieved or Mapped'],"추천 진료과: 척추센터. 추천 의료진: 정형외과/O.P의 이상원/D002 (이유: 정형외과 전문의, 관절·척추·비수술치료 전문, 증상 관련 가능성 있음); 정형외과/O.P의 백승하/D005 (이유: 정형외과 전문의, 발목·무릎·관절경 전문, 증상 관련 가능성 있음); 정형외과/O.P의 양재혁/D003 (이유: 정형외과 전문의, 무릎·인공관절·어깨·반월상연골판·관절내시경·스포츠손상 전문, 증상 관련 가능성 있음)",0.0,0.6888342600214394
sample_05_common_cold.json,16.006,"증상: 콧물, 기침, 미열. 약 처방만 원함",['No Context Retrieved or Mapped'],"추천 진료과: 신경과. 추천 의료진: 신경과의 우연선 (이유: 증상 중 기침, 미열은 호흡기 감염 증상으로 신경과 전문분야와 직접적 연관성은 적으나, 두통 관련 신경과 전문의 중 최상위 순위 (증상-전문분야 키워드 일치, 직함 우선순위 준수, 문서ID team-6)); 내과의 고현길 (이유: 내과 전문분야는 감염 및 내과적 질환 치료 가능 (증상-전문분야 키워드 일치, 문서ID team-7)); 내과의 정명화 (이유: 내과 전문분야는 감염 및 내과적 질환 치료 가능 (증상-전문분야 키워드 일치, 문서ID team-9))",0.0,0.7544568192770216
sample_06_ankle_sprain.json,15.246,"증상: 발목 부음, 통증. 3일 전 계단에서 삐끗",['No Context Retrieved or Mapped'],"추천 진료과: 정형외과/O.P. 추천 의료진: 정형외과/O.P의 백승하/D005 (이유: 발목·무릎·관절경 전문분야 일치, 증상-전문분야 키워드 일치, 근거 문서ID: team-4)",0.0,0.6990677500100442
sample_07_diabetes_check.json,17.181,"증상: 갈증 심함, 소변 잦음. 당뇨병 검진 원함",['No Context Retrieved or Mapped'],추천 진료과: 내과/I.M. 추천 의료진: 내과/I.M의 고현길/D008 (이유: 증상-전문분야 키워드 일치/당뇨 관련 전문분야 (team-7)); 내과/I.M의 정명화/D010 (이유: 증상-전문분야 키워드 일치/당뇨 관련 전문분야 (team-9)); 내과/I.M의 이애라/D009 (이유: 증상-전문분야 키워드 일치/당뇨 관련 전문분야 (team-8)),0.0,0.7008692354939631
sample_08_carpal_tunnel.json,24.311,"증상: 손목 저림, 물건 놓침. 반복적인 컴퓨터 작업",['No Context Retrieved or Mapped'],"추천 진료과: 관절센터. 추천 의료진: 관절센터의 교수 김관절 (이유: 교수 직함 우선순위 일치, 손목 저림 및 물건 놓침 증상과 관절센터 수부관절 전문분야 매칭, 근거 문서ID sym-15, sym-18, sym-19); 관절센터의 전문의 박수부 (이유: 전문의 직함 우선순위, 손목터널증후군 및 삼각섬유연골파열 관련 증상과 전문분야 일치, 근거 문서ID sym-18, sym-19); 관절센터의 교수 이척골 (이유: 교수 직함, 척골충돌증후군 전문분야와 증상 매칭, 근거 문서ID sym-20)",0.0,0.7109961703016605
sample_09_vertigo.json,16.82,"증상: 빙글빙글 도는 어지러움, 구토. 아침에 갑자기 발생",['No Context Retrieved or Mapped'],추천 진료과: 신경과. 추천 의료진: 신경과의 우연선 (이유: 증상-전문분야 키워드 일치(두통·어지럼증) 및 근거 문서ID sym-60); 신경외과의 오재인 (이유: 관련 증상 일부 일치 및 근거 문서ID team-5); 내과의 고현길 (이유: 내과 전문분야 및 근거 문서ID team-7),0.0,0.6975624856555416
sample_10_colitis.json,19.117,"증상: 설사, 복부 팽만감. 만성 대장염 진단 이력 있음",['No Context Retrieved or Mapped'],"추천 진료과: 내과/I.M. 추천 의료진: 내과/I.M의 고현길/D008 (이유: 증상-전문분야 키워드 일치(위·대장내시경), 만성 대장염 진단 이력 근거(sym-51)); 내과/I.M의 이애라/D009 (이유: 증상-전문분야 키워드 일치(위·대장내시경), 만성 대장염 진단 이력 근거(sym-51)); 내과/I.M의 정명화/D010 (이유: 증상-전문분야 키워드 일치(위·대장내시경), 만성 대장염 진단 이력 근거(sym-51))",0.0,0.697312841523928
